1;arms_factory;3514.00;10.95;1422.00;2.70;0
1;arms_factory;4106.00;10.20;1496.00;5.72;0
1;arms_factory;2157.00;11.07;137.00;0.64;0
1;arms_factory;1977.00;9.90;735.00;4.76;0
1;arms_factory;3665.00;11.15;1550.00;2.61;0
1;arms_factory;3325.00;11.60;1247.00;2.71;0
1;industrial_complex;3856.00;11.18;738.00;0.55;0
1;industrial_complex;3476.00;9.70;1292.00;3.21;0
1;industrial_complex;2205.00;11.53;176.00;4.77;0
1;industrial_complex;3774.00;10.60;749.00;1.16;0
1;industrial_complex;3650.00;11.65;1426.00;5.28;0
1;industrial_complex;4326.00;11.20;1092.00;0.20;0
1;air_base;3404.00;11.55;917.00;3.22;0
1;naval_base;1978.00;9.82;713.00;0.46;12999
1;naval_base;1680.00;9.50;1990.00;1.41;13757
1;naval_base;2187.00;9.70;194.00;-2.51;10410
1;naval_base;4085.00;9.88;645.00;-0.79;14163
1;naval_base;2048.00;11.05;745.00;-4.33;9028
1;naval_base;4202.00;9.50;1208.00;-0.46;9423
1;naval_base;2142.00;9.80;140.00;-1.71;8435
1;naval_base;3669.00;10.13;1563.00;-3.27;10483
1;naval_base;1975.00;9.50;738.00;-0.59;14175
1;naval_base;3765.00;9.60;691.00;0.59;11033
1;naval_base;2047.00;9.70;287.00;-4.60;11335
1;naval_base;3693.00;9.63;1549.00;-3.34;14825
1;naval_base;1877.00;10.13;805.00;-3.93;8528
1;naval_base;4149.00;9.50;1253.00;-1.71;13081
1;naval_base;1486.00;10.20;723.00;-4.25;13093
1;naval_base;1504.00;10.25;652.00;-3.93;11260
1;naval_base;3391.00;9.53;1641.00;-2.18;12076
1;naval_base;3228.00;9.50;1357.00;-1.95;11357
1;naval_base;1680.00;10.53;711.00;-3.28;14228
1;naval_base;1846.00;9.90;869.00;-2.03;14324
1;naval_base;3675.00;9.78;768.00;-2.16;13051
1;naval_base;3254.00;9.95;1706.00;0.59;14341
1;naval_base;4010.00;9.70;1153.00;0.46;11437
1;naval_base;1892.00;9.63;445.00;-1.25;13920
1;naval_base;3888.00;9.82;1315.00;0.24;14199
1;naval_base;1651.00;9.50;521.00;-0.46;13702
1;naval_base;1975.00;9.82;430.00;-2.79;12334
1;naval_base;4201.00;9.73;1419.00;0.98;12723
1;naval_base;4443.00;9.85;1230.00;-3.02;10681
1;naval_base;4018.00;9.70;1034.00;0.46;8485
